"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 03 16:59:39 EDT 2020","Wed Jun 03 16:59:44 EDT 2020","5213","","blaze page elements","","blaze page elements","click on product link if displayed?","click on product link if displayed?",""
"passed","Wed Jun 03 16:51:31 EDT 2020","Wed Jun 03 16:51:32 EDT 2020","445","","how to handle application login page in webdriver IO","","how to handle application login page in webdriver IO","should click Login button","should click Login button",""
"passed","Wed Jun 03 16:59:39 EDT 2020","Wed Jun 03 16:59:39 EDT 2020","593","","blaze page elements","","blaze page elements","main heading exists?","main heading exists?",""
"passed","Wed Jun 03 16:51:27 EDT 2020","Wed Jun 03 16:51:31 EDT 2020","3373","","how to handle application login page in webdriver IO","","how to handle application login page in webdriver IO","enter username","enter username",""
"passed","Wed Jun 03 16:51:32 EDT 2020","Wed Jun 03 16:51:32 EDT 2020","275","","how to handle application login page in webdriver IO","","how to handle application login page in webdriver IO","clear username and password","clear username and password",""
"failed","Wed Jun 03 16:59:49 EDT 2020","Wed Jun 03 16:59:51 EDT 2020","2066","","how to handle checkbox in webdriver IO","","how to handle checkbox in webdriver IO","check header of checkbox","check header of checkbox",""
"passed","Wed Jun 03 16:59:35 EDT 2020","Wed Jun 03 16:59:37 EDT 2020","1756","","how to handle checkbox in webdriver IO","","how to handle checkbox in webdriver IO","should show the link name","should show the link name",""
"passed","Wed Jun 03 16:51:31 EDT 2020","Wed Jun 03 16:51:31 EDT 2020","375","","how to handle application login page in webdriver IO","","how to handle application login page in webdriver IO","enter password","enter password",""
"passed","Wed Jun 03 16:59:39 EDT 2020","Wed Jun 03 16:59:39 EDT 2020","77","","blaze page elements","","blaze page elements","JMeter exists?","JMeter exists?",""
"passed","Wed Jun 03 16:59:35 EDT 2020","Wed Jun 03 16:59:39 EDT 2020","3330","","blaze page elements","","blaze page elements","get texts for all main links","get texts for all main links",""
"passed","Wed Jun 03 16:59:37 EDT 2020","Wed Jun 03 16:59:49 EDT 2020","11731","","how to handle checkbox in webdriver IO","","how to handle checkbox in webdriver IO","should click checkbox","should click checkbox",""
